                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7639,                 37.091,                  3.011,                 3.0772,                 58.085,                 2.5928,                  4e-05,                0.57268,                 0.0012,                0.00027,                 2.9107,                 5.1949,                 2.4423,                 2.4659,                 5.2377,                 2.1503,              0.0033322,              0.0033322,              0.0033322
                      2,                 2.9403,                 4.7084,                 2.2335,                 2.6508,                  4.896,                 2.0206,                0.20289,                0.41857,                0.02655,                0.00683,                 2.5884,                 4.2872,                 2.1738,                 2.2592,                 4.3819,                 1.9825,              0.0065996,              0.0065996,              0.0065996
                      3,                 2.8559,                 4.4662,                 2.1782,                  2.608,                 4.7027,                 2.0097,                  7e-05,                0.74306,                0.03129,                 0.0093,                 2.4556,                  3.573,                 2.0888,                  2.131,                 3.9329,                 1.9046,              0.0098009,              0.0098009,              0.0098009
                      4,                 2.7973,                 4.2716,                 2.1323,                 2.5928,                  4.527,                 1.9673,                  7e-05,                0.79801,                0.04745,                0.01661,                   2.27,                 3.2683,                 1.9612,                 2.0035,                 3.6473,                 1.7789,               0.009703,               0.009703,               0.009703
                      5,                 2.7105,                 4.1197,                 2.0575,                 2.5078,                 4.3823,                 1.8867,                0.84185,                0.05929,                0.04976,                0.01759,                 2.2119,                 3.3099,                 1.9274,                 1.9663,                  3.648,                 1.7481,               0.009703,               0.009703,               0.009703
                      6,                 2.7061,                 4.0194,                 2.0633,                 2.4722,                 4.3076,                 1.8762,                0.84015,                0.07012,                0.05971,                0.02193,                 2.1943,                 3.2623,                 1.9132,                 1.9083,                 3.6172,                 1.7174,               0.009604,               0.009604,               0.009604
                      7,                 2.6401,                 3.9831,                 2.0191,                 2.4514,                  4.256,                 1.8505,                  6e-05,                0.84791,                0.05116,                0.01883,                 2.1954,                 3.5309,                 1.9103,                 1.9137,                 3.8209,                 1.7165,               0.009505,               0.009505,               0.009505
                      8,                 2.6431,                 4.0229,                 2.0197,                  2.437,                 4.3182,                 1.8335,                  6e-05,                0.84184,                0.04413,                0.01612,                 2.2018,                 3.9432,                 1.9148,                 1.9283,                 4.2139,                 1.7213,               0.009406,               0.009406,               0.009406
                      9,                  2.607,                 3.8578,                 1.9975,                  2.424,                 4.1532,                 1.8202,                  6e-05,                0.84804,                0.04812,                0.01805,                 2.1895,                 3.7453,                 1.9098,                 1.9301,                 4.0419,                 1.7142,               0.009307,               0.009307,               0.009307
                     10,                 2.5926,                 3.8576,                  1.992,                 2.4034,                 4.1563,                 1.8222,                  6e-05,                0.85422,                0.05301,                0.02046,                 2.1907,                 3.6143,                 1.9085,                 1.9322,                 3.9182,                 1.7095,               0.009208,               0.009208,               0.009208
                     11,                 2.5884,                 3.8796,                  1.981,                 2.3879,                 4.1657,                 1.8076,                  6e-05,                0.84984,                0.05396,                0.02118,                 2.1898,                 3.5525,                 1.9074,                 1.9263,                 3.8597,                 1.7142,               0.009109,               0.009109,               0.009109
                     12,                 2.5877,                 3.7942,                 1.9928,                 2.3864,                 4.1337,                 1.8114,                  6e-05,                0.84815,                0.05761,                0.02238,                 2.1845,                 3.4841,                 1.9053,                  1.925,                 3.7904,                 1.7101,                0.00901,                0.00901,                0.00901
                     13,                 2.5991,                  3.829,                 1.9795,                 2.3928,                  4.137,                 1.7976,                  6e-05,                0.83846,                0.05624,                0.02195,                 2.1933,                 3.5009,                 1.9093,                 1.9242,                 3.8072,                  1.705,               0.008911,               0.008911,               0.008911
                     14,                 2.5623,                 3.8107,                 1.9679,                 2.3699,                  4.123,                 1.7867,                  6e-05,                0.84246,                0.05925,                0.02318,                 2.1884,                 3.4744,                 1.9039,                 1.9161,                 3.7917,                 1.7023,               0.008812,               0.008812,               0.008812
                     15,                 2.5577,                 3.7507,                 1.9521,                 2.3634,                 4.0642,                 1.7765,                0.22889,                0.30782,                0.06274,                0.02433,                 2.1826,                 3.4347,                 1.8997,                 1.9032,                 3.7592,                 1.6947,               0.008713,               0.008713,               0.008713
                     16,                 2.5455,                 3.7474,                 1.9428,                 2.3382,                 4.0721,                 1.7662,                 0.7347,                 0.0648,                0.06693,                0.02591,                 2.1698,                 3.3913,                 1.8898,                 1.8825,                 3.7177,                  1.679,               0.008614,               0.008614,               0.008614
                     17,                 2.4993,                 3.6731,                 1.9361,                 2.3191,                 3.9927,                 1.7664,                0.93472,                0.00777,                0.07585,                0.02943,                 2.1454,                 3.3232,                 1.8799,                 1.8867,                 3.6447,                 1.6782,               0.008515,               0.008515,               0.008515
                     18,                 2.5227,                 3.6971,                 1.9384,                 2.3384,                 4.0124,                 1.7688,                0.92806,                0.00894,                0.08075,                0.03131,                 2.1335,                 3.2703,                 1.8689,                 1.8937,                 3.6033,                 1.6769,               0.008416,               0.008416,               0.008416
                     19,                 2.5124,                 3.6744,                 1.9247,                 2.3344,                 3.9908,                 1.7579,                0.93174,                0.01453,                0.08692,                0.03418,                 2.1117,                 3.2088,                 1.8565,                 1.8812,                 3.5433,                 1.6718,               0.008317,               0.008317,               0.008317
                     20,                 2.5198,                 3.6559,                  1.934,                 2.3275,                  3.973,                 1.7603,                0.92745,                0.01736,                0.09078,                0.03576,                 2.1093,                 3.1915,                 1.8533,                 1.8728,                 3.5358,                 1.6675,               0.008218,               0.008218,               0.008218
                     21,                 2.5191,                 3.6275,                 1.9337,                 2.3413,                 3.9491,                 1.7669,                0.93074,                0.02398,                0.09788,                0.03904,                 2.1002,                 3.1564,                 1.8459,                 1.8506,                  3.491,                 1.6545,               0.008119,               0.008119,               0.008119
                     22,                 2.4997,                 3.5925,                 1.9286,                 2.3317,                 3.9549,                 1.7637,                0.93378,                0.02567,                0.10189,                0.04056,                 2.0901,                 3.1399,                  1.839,                 1.8492,                 3.4709,                 1.6507,                0.00802,                0.00802,                0.00802
                     23,                 2.4803,                 3.6033,                 1.9162,                 2.2901,                 3.9112,                 1.7414,                0.93438,                0.03084,                0.10416,                0.04238,                 2.0836,                 3.1165,                 1.8324,                 1.8351,                   3.44,                 1.6507,               0.007921,               0.007921,               0.007921
                     24,                 2.4779,                 3.5882,                  1.901,                 2.2969,                 3.8975,                 1.7257,                0.93649,                 0.0354,                0.10891,                0.04499,                 2.0688,                 3.0884,                 1.8259,                 1.8386,                 3.3962,                 1.6463,               0.007822,               0.007822,               0.007822
                     25,                 2.4888,                  3.566,                 1.9288,                 2.3202,                 3.8995,                 1.7613,                 0.9409,                0.03906,                0.11153,                0.04679,                 2.0695,                 3.0843,                  1.825,                 1.8406,                 3.3878,                  1.647,               0.007723,               0.007723,               0.007723
                     26,                 2.4853,                  3.566,                  1.906,                 2.3112,                  3.875,                 1.7382,                0.93174,                0.04518,                0.11705,                0.04924,                 2.0604,                 3.0571,                 1.8201,                 1.8403,                 3.3478,                 1.6438,               0.007624,               0.007624,               0.007624
                     27,                 2.4659,                   3.54,                 1.8911,                 2.2857,                 3.8543,                 1.7267,                0.92794,                0.05129,                0.12015,                0.05065,                  2.046,                 3.0162,                 1.8117,                 1.8301,                 3.2946,                 1.6357,               0.007525,               0.007525,               0.007525
                     28,                 2.4544,                 3.5307,                 1.8917,                 2.2853,                  3.832,                 1.7289,                0.91773,                0.05791,                 0.1204,                0.05143,                 2.0418,                 3.0102,                 1.8116,                 1.8309,                 3.2846,                 1.6321,               0.007426,               0.007426,               0.007426
                     29,                 2.4437,                 3.4314,                 1.8872,                 2.2673,                 3.7546,                 1.7213,                0.91138,                0.06447,                0.12185,                0.05253,                 2.0345,                 2.9653,                 1.8041,                 1.8166,                 3.2473,                 1.6228,               0.007327,               0.007327,               0.007327
                     30,                 2.4458,                 3.4189,                 1.8923,                 2.2784,                 3.7828,                 1.7305,                0.90536,                0.07347,                0.12909,                0.05502,                 2.0323,                 2.9251,                 1.7983,                 1.8244,                 3.2105,                 1.6264,               0.007228,               0.007228,               0.007228
                     31,                 2.4513,                 3.4535,                 1.8941,                 2.2715,                 3.7834,                 1.7188,                0.90896,                0.07635,                0.13269,                0.05559,                 2.0309,                 2.9018,                 1.7946,                 1.8239,                 3.1955,                 1.6272,               0.007129,               0.007129,               0.007129
                     32,                 2.4692,                 3.4598,                 1.8902,                 2.2732,                 3.7812,                  1.713,                0.90664,                0.08416,                0.13634,                0.05675,                 2.0286,                 2.8808,                 1.7922,                 1.8148,                 3.1678,                 1.6249,                0.00703,                0.00703,                0.00703
                     33,                 2.4396,                 3.3958,                 1.8729,                 2.2725,                 3.7347,                 1.7145,                0.89858,                0.09502,                0.13829,                0.05824,                 2.0176,                 2.8377,                 1.7855,                 1.8063,                 3.1333,                   1.62,               0.006931,               0.006931,               0.006931
                     34,                 2.4273,                 3.4161,                 1.8761,                 2.2596,                  3.733,                 1.7051,                0.89778,                0.10015,                0.14146,                0.06029,                 2.0063,                 2.8025,                 1.7787,                 1.8009,                 3.0929,                 1.6167,               0.006832,               0.006832,               0.006832
                     35,                 2.4252,                 3.3417,                 1.8721,                 2.2714,                 3.6889,                 1.7137,                0.59494,                0.10289,                0.14063,                0.06199,                 1.9902,                 2.7581,                 1.7671,                 1.7856,                 3.0551,                 1.6066,               0.006733,               0.006733,               0.006733
                     36,                 2.4257,                 3.3845,                 1.8747,                 2.2682,                 3.7097,                 1.7107,                 0.7725,                0.10606,                0.14246,                0.06349,                 1.9776,                 2.7279,                   1.76,                 1.7806,                 3.0354,                 1.6054,               0.006634,               0.006634,               0.006634
                     37,                 2.4202,                 3.3918,                 1.8576,                 2.2655,                 3.7245,                 1.7013,                0.58847,                0.11714,                0.14741,                 0.0661,                 1.9633,                  2.699,                 1.7515,                 1.7583,                 2.9968,                 1.5955,               0.006535,               0.006535,               0.006535
                     38,                 2.4105,                 3.3374,                 1.8647,                 2.2626,                 3.6916,                  1.707,                0.57583,                0.12282,                0.15067,                0.06874,                 1.9604,                 2.6685,                 1.7476,                 1.7588,                 2.9682,                  1.597,               0.006436,               0.006436,               0.006436
                     39,                 2.4209,                 3.3337,                 1.8732,                 2.2522,                  3.686,                 1.7034,                0.58076,                0.12496,                0.15484,                0.07058,                 1.9499,                  2.637,                 1.7406,                 1.7576,                 2.9375,                 1.5934,               0.006337,               0.006337,               0.006337
                     40,                 2.3743,                 3.2728,                 1.8453,                 2.2241,                 3.6189,                 1.6787,                0.62659,                0.12854,                0.15718,                0.07161,                   1.94,                 2.6165,                 1.7346,                 1.7536,                 2.9136,                 1.5897,               0.006238,               0.006238,               0.006238
                     41,                 2.3792,                 3.2454,                 1.8496,                 2.2477,                 3.6308,                  1.701,                0.63788,                0.13206,                0.16278,                0.07387,                 1.9285,                 2.5909,                 1.7268,                 1.7397,                 2.8936,                 1.5772,               0.006139,               0.006139,               0.006139
                     42,                 2.3772,                 3.2799,                 1.8327,                  2.223,                 3.6143,                 1.6738,                0.62686,                0.13714,                 0.1671,                0.07638,                 1.9219,                 2.5713,                 1.7224,                 1.7334,                 2.8754,                 1.5748,                0.00604,                0.00604,                0.00604
                     43,                 2.3797,                 3.2623,                 1.8384,                  2.224,                 3.5941,                 1.6755,                0.62994,                0.14496,                0.17027,                0.07767,                 1.9118,                 2.5558,                 1.7146,                 1.7135,                 2.8548,                 1.5638,               0.005941,               0.005941,               0.005941
                     44,                 2.3719,                 3.2464,                 1.8359,                 2.2214,                 3.6081,                 1.6755,                0.65341,                0.15574,                 0.1732,                0.07934,                  1.909,                 2.5309,                 1.7082,                 1.7139,                  2.835,                 1.5592,               0.005842,               0.005842,               0.005842
                     45,                 2.3639,                 3.2407,                 1.8384,                 2.2166,                 3.5816,                 1.6793,                0.62819,                0.15796,                0.17625,                0.08198,                 1.9047,                 2.5135,                 1.7031,                 1.7104,                 2.8095,                 1.5548,               0.005743,               0.005743,               0.005743
                     46,                 2.3375,                 3.2463,                 1.8161,                  2.188,                 3.5714,                 1.6577,                0.64862,                0.16519,                0.17866,                0.08365,                 1.8995,                 2.5033,                  1.698,                 1.7052,                 2.8021,                 1.5506,               0.005644,               0.005644,               0.005644
                     47,                 2.3499,                 3.2303,                 1.8358,                 2.1976,                  3.584,                 1.6799,                0.63867,                0.16706,                0.17835,                0.08392,                 1.8963,                 2.4891,                 1.6927,                 1.6962,                 2.7942,                  1.544,               0.005545,               0.005545,               0.005545
                     48,                 2.3513,                 3.2252,                 1.8227,                 2.2079,                 3.5598,                 1.6616,                0.61762,                0.17541,                0.18095,                0.08488,                 1.8907,                 2.4658,                 1.6883,                 1.7014,                  2.778,                  1.547,               0.005446,               0.005446,               0.005446
                     49,                  2.356,                 3.2232,                 1.8264,                 2.2102,                 3.5768,                 1.6698,                0.62465,                0.18075,                0.18504,                0.08761,                 1.8844,                 2.4461,                 1.6835,                 1.6824,                 2.7612,                 1.5354,               0.005347,               0.005347,               0.005347
                     50,                 2.3041,                 3.1575,                 1.8042,                 2.1735,                 3.4965,                 1.6515,                0.62394,                0.18782,                0.18772,                0.08905,                 1.8802,                 2.4302,                 1.6792,                 1.6732,                 2.7489,                 1.5314,               0.005248,               0.005248,               0.005248
                     51,                 2.3377,                 3.1841,                 1.8176,                  2.191,                 3.5231,                  1.658,                0.61875,                0.19054,                0.19198,                0.09136,                 1.8683,                 2.4094,                 1.6717,                  1.666,                 2.7293,                  1.528,               0.005149,               0.005149,               0.005149
                     52,                 2.3263,                 3.1081,                 1.8161,                 2.1865,                 3.4862,                 1.6606,                0.61567,                0.19487,                0.19557,                0.09335,                 1.8592,                 2.3997,                 1.6662,                 1.6604,                 2.7187,                 1.5201,                0.00505,                0.00505,                0.00505
                     53,                 2.2805,                 3.1283,                  1.781,                 2.1502,                 3.4505,                 1.6388,                0.62219,                0.19871,                0.19699,                0.09442,                   1.85,                 2.3869,                 1.6608,                 1.6589,                 2.7056,                 1.5184,               0.004951,               0.004951,               0.004951
                     54,                 2.3345,                 3.1405,                 1.8088,                 2.2002,                 3.4723,                 1.6547,                0.62242,                0.21167,                0.20304,                0.09665,                  1.837,                 2.3747,                 1.6552,                 1.6688,                 2.6861,                 1.5219,               0.004852,               0.004852,               0.004852
                     55,                   2.29,                 3.1366,                 1.7921,                 2.1539,                 3.4622,                 1.6403,                0.62186,                0.21543,                0.20684,                0.09936,                 1.8257,                 2.3605,                 1.6469,                 1.6646,                 2.6762,                 1.5172,               0.004753,               0.004753,               0.004753
                     56,                 2.2784,                 3.0699,                 1.7811,                 2.1535,                  3.394,                 1.6314,                0.63437,                0.22802,                0.21497,                0.10336,                 1.8172,                  2.344,                 1.6423,                 1.6536,                  2.664,                 1.5098,               0.004654,               0.004654,               0.004654
                     57,                 2.2901,                 3.1104,                 1.7735,                 2.1527,                 3.4467,                 1.6248,                 0.6363,                0.23194,                0.21674,                0.10526,                 1.8126,                 2.3317,                 1.6378,                 1.6574,                 2.6398,                 1.5073,               0.004555,               0.004555,               0.004555
                     58,                 2.2752,                 3.0493,                 1.7862,                 2.1494,                 3.4067,                 1.6359,                0.63786,                0.23571,                0.22433,                0.10754,                  1.806,                 2.3263,                 1.6346,                 1.6585,                 2.6214,                 1.5104,               0.004456,               0.004456,               0.004456
                     59,                 2.2765,                 3.0999,                 1.7631,                 2.1404,                 3.4131,                 1.6124,                0.63498,                0.23896,                0.22913,                0.11097,                 1.8048,                 2.3227,                 1.6343,                 1.6574,                 2.6328,                 1.5133,               0.004357,               0.004357,               0.004357
                     60,                  2.277,                 3.0485,                 1.7805,                 2.1424,                  3.404,                 1.6308,                0.64071,                  0.247,                0.23249,                0.11389,                 1.8056,                 2.3037,                 1.6333,                 1.6481,                 2.6108,                 1.5051,               0.004258,               0.004258,               0.004258
                     61,                 2.2803,                 3.0403,                  1.786,                 2.1544,                 3.3767,                  1.639,                0.63666,                0.24142,                0.23473,                0.11473,                 1.7949,                 2.2849,                 1.6263,                 1.6454,                 2.5916,                 1.5043,               0.004159,               0.004159,               0.004159
                     62,                 2.2487,                 3.0281,                 1.7569,                 2.1161,                 3.3236,                 1.6098,                0.65316,                0.24974,                0.23861,                0.11733,                 1.7839,                 2.2651,                 1.6196,                 1.6273,                 2.5808,                 1.4927,                0.00406,                0.00406,                0.00406
                     63,                 2.2403,                 3.0033,                 1.7508,                 2.1128,                 3.3526,                 1.6096,                0.63619,                0.25257,                0.24026,                0.11832,                 1.7757,                 2.2512,                 1.6149,                 1.6252,                 2.5514,                 1.4911,               0.003961,               0.003961,               0.003961
                     64,                 2.2253,                 2.9658,                 1.7486,                 2.1147,                 3.3193,                 1.6085,                0.63438,                0.25666,                0.24339,                0.11925,                 1.7688,                  2.241,                 1.6091,                 1.6237,                 2.5405,                 1.4881,               0.003862,               0.003862,               0.003862
                     65,                 2.2617,                 2.9706,                  1.775,                 2.1403,                 3.3034,                 1.6262,                0.64808,                  0.253,                0.24557,                0.12093,                 1.7639,                 2.2325,                 1.6069,                 1.6189,                 2.5439,                 1.4852,               0.003763,               0.003763,               0.003763
