                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6161,                 2.0683,                 1.3086,                 1.5675,                 2.0863,                 1.2255,                0.49188,                0.39298,                0.40009,                0.20661,                 1.5279,                 1.8243,                 1.3604,                 1.4403,                 1.7955,                 1.2864,              0.0033328,              0.0033328,              0.0033328
                      2,                 1.8863,                 2.6124,                 1.4704,                  1.771,                 2.6043,                 1.3474,                0.59742,                0.30877,                0.30469,                 0.1529,                 1.5592,                 2.0901,                 1.4037,                  1.439,                 2.0643,                 1.3032,              0.0066001,              0.0066001,              0.0066001
                      3,                 2.1576,                  3.321,                 1.6314,                 1.9498,                 3.2505,                 1.4669,                0.84868,                0.11139,                0.16245,                0.07863,                  1.685,                 2.8985,                 1.4978,                 1.4958,                 2.9307,                 1.3553,              0.0098015,              0.0098015,              0.0098015
                      4,                 2.2171,                 3.4586,                 1.6653,                 2.0168,                    3.4,                 1.5147,                 0.9492,                0.04282,                0.11069,                0.05449,                 1.7486,                 3.4043,                 1.5541,                 1.5406,                  3.374,                 1.3852,               0.009703,               0.009703,               0.009703
                      5,                 2.1601,                  3.309,                 1.6363,                 1.9488,                 3.2651,                 1.4816,                0.92787,                0.06212,                0.11968,                0.05891,                 1.7234,                 3.2336,                 1.5349,                  1.516,                 3.2157,                 1.3721,               0.009703,               0.009703,               0.009703
                      6,                 2.1642,                 3.3231,                 1.6332,                 1.9546,                 3.3062,                 1.4805,                 0.8999,                0.08736,                0.13293,                0.06624,                 1.7036,                 3.0878,                 1.5175,                 1.5076,                 3.0588,                 1.3627,               0.009604,               0.009604,               0.009604
                      7,                 2.1577,                 3.2914,                 1.6496,                  1.955,                 3.2802,                 1.4936,                0.89331,                0.10353,                0.14447,                0.07104,                 1.6833,                 2.9066,                 1.4993,                 1.4804,                 2.9214,                 1.3496,               0.009505,               0.009505,               0.009505
                      8,                 2.1644,                 3.2852,                 1.6369,                 1.9805,                  3.263,                 1.4865,                0.88703,                0.11294,                0.14543,                0.07134,                 1.6832,                  2.869,                 1.4945,                 1.4699,                 2.9079,                 1.3499,               0.009406,               0.009406,               0.009406
                      9,                 2.1811,                 3.2525,                 1.6517,                 1.9871,                 3.2393,                 1.5019,                0.88695,                0.11812,                0.15355,                0.07463,                 1.6692,                 2.7537,                 1.4889,                 1.4686,                 2.8151,                 1.3463,               0.009307,               0.009307,               0.009307
                     10,                 2.1463,                 3.2829,                 1.6251,                 1.9521,                 3.2641,                 1.4803,                 0.8852,                0.11526,                0.15791,                0.07728,                 1.6595,                 2.7009,                 1.4838,                  1.488,                 2.7717,                 1.3548,               0.009208,               0.009208,               0.009208
                     11,                   2.17,                 3.2917,                 1.6355,                 1.9594,                  3.287,                 1.4804,                0.84967,                0.11374,                0.15931,                0.07786,                 1.6631,                 2.6492,                 1.4814,                 1.4795,                 2.7434,                 1.3445,               0.009109,               0.009109,               0.009109
                     12,                 2.1477,                 3.2383,                 1.6247,                 1.9441,                 3.2159,                 1.4701,                 0.7752,                0.12555,                0.16193,                0.07997,                 1.6746,                 2.6463,                 1.4819,                   1.48,                 2.7277,                 1.3464,                0.00901,                0.00901,                0.00901
                     13,                 2.1611,                 3.2543,                  1.635,                 1.9612,                 3.2292,                 1.4851,                0.78392,                0.13195,                0.16193,                0.08012,                 1.6806,                 2.6212,                  1.485,                 1.4922,                 2.6939,                  1.345,               0.008911,               0.008911,               0.008911
                     14,                 2.1356,                 3.2307,                 1.6128,                 1.9445,                 3.2028,                 1.4655,                0.76271,                0.13402,                0.16545,                0.08205,                 1.6599,                 2.5997,                 1.4786,                 1.4808,                 2.6484,                 1.3418,               0.008812,               0.008812,               0.008812
                     15,                 2.1461,                 3.1919,                 1.6327,                 1.9474,                 3.2114,                 1.4837,                0.74866,                0.13998,                0.16111,                0.08074,                 1.6614,                 2.6002,                 1.4813,                 1.4874,                 2.6644,                 1.3399,               0.008713,               0.008713,               0.008713
                     16,                 2.1401,                 3.2207,                 1.6234,                 1.9415,                  3.205,                 1.4661,                0.75332,                0.13767,                0.15935,                0.08114,                 1.6554,                 2.5913,                 1.4755,                 1.4782,                 2.6597,                 1.3353,               0.008614,               0.008614,               0.008614
                     17,                 2.1534,                 3.2459,                 1.6194,                 1.9599,                 3.2159,                 1.4686,                0.73772,                0.14299,                0.16312,                0.08274,                 1.6461,                 2.5785,                 1.4723,                 1.4591,                 2.6529,                 1.3275,               0.008515,               0.008515,               0.008515
                     18,                 2.1524,                 3.2166,                 1.6252,                 1.9622,                 3.1982,                 1.4731,                0.73551,                0.14252,                0.15889,                 0.0795,                 1.6465,                 2.5728,                 1.4716,                 1.4625,                 2.6471,                  1.331,               0.008416,               0.008416,               0.008416
                     19,                 2.1393,                 3.2094,                 1.6203,                 1.9401,                 3.1966,                 1.4636,                0.73418,                0.13857,                0.15786,                 0.0795,                 1.6517,                  2.579,                 1.4722,                  1.446,                 2.6426,                 1.3249,               0.008317,               0.008317,               0.008317
                     20,                 2.1326,                 3.2213,                 1.6169,                 1.9483,                 3.1977,                 1.4679,                0.74255,                 0.1473,                0.16396,                0.08174,                 1.6524,                 2.6091,                  1.475,                 1.4529,                 2.6762,                 1.3312,               0.008218,               0.008218,               0.008218
                     21,                 2.1179,                 3.2273,                 1.6069,                 1.9285,                  3.187,                 1.4485,                0.75416,                0.15237,                0.16788,                0.08375,                 1.6483,                 2.6113,                 1.4754,                 1.4723,                  2.679,                 1.3376,               0.008119,               0.008119,               0.008119
                     22,                 2.1293,                 3.2245,                 1.6104,                 1.9415,                 3.1978,                 1.4581,                0.73324,                0.15128,                0.16594,                0.08327,                 1.6402,                 2.5712,                 1.4707,                  1.479,                 2.6354,                 1.3356,                0.00802,                0.00802,                0.00802
                     23,                 2.1315,                 3.1892,                 1.6165,                 1.9253,                 3.1539,                 1.4539,                  0.757,                0.15621,                0.17344,                0.08639,                 1.6464,                 2.5468,                 1.4697,                 1.4627,                 2.6072,                 1.3265,               0.007921,               0.007921,               0.007921
                     24,                 2.1067,                  3.166,                 1.5998,                 1.9228,                 3.1453,                 1.4515,                0.68341,                0.16641,                0.17917,                0.08875,                 1.6396,                 2.5178,                 1.4643,                 1.4527,                 2.5829,                 1.3277,               0.007822,               0.007822,               0.007822
                     25,                 2.1277,                 3.1648,                 1.6167,                 1.9441,                 3.1477,                 1.4647,                0.62416,                0.18345,                0.18349,                0.09058,                 1.6264,                 2.4711,                 1.4579,                 1.4484,                 2.5375,                 1.3202,               0.007723,               0.007723,               0.007723
                     26,                 2.0991,                  3.154,                 1.5975,                 1.9153,                 3.1391,                 1.4522,                0.63872,                0.16848,                0.18686,                0.09353,                 1.6162,                 2.4408,                 1.4517,                 1.4434,                 2.5099,                 1.3128,               0.007624,               0.007624,               0.007624
                     27,                 2.1178,                 3.1799,                 1.6042,                 1.9194,                  3.186,                  1.454,                0.65156,                0.16055,                0.17481,                0.08932,                 1.6253,                 2.4995,                 1.4569,                 1.4495,                 2.5636,                  1.314,               0.007525,               0.007525,               0.007525
                     28,                 2.0988,                 3.1235,                 1.5978,                 1.9006,                 3.1187,                 1.4421,                0.61682,                0.17145,                0.18303,                0.09213,                 1.6236,                  2.467,                 1.4541,                 1.4432,                 2.5627,                 1.3184,               0.007426,               0.007426,               0.007426
                     29,                 2.1183,                 3.1266,                 1.6017,                 1.9366,                 3.1227,                  1.453,                0.60094,                0.18163,                0.18955,                 0.0952,                 1.6187,                 2.4174,                 1.4498,                 1.4359,                 2.4985,                 1.3152,               0.007327,               0.007327,               0.007327
                     30,                 2.0935,                  3.095,                 1.5962,                 1.9051,                 3.0994,                 1.4412,                0.63122,                0.18754,                0.19571,                0.09755,                 1.6159,                   2.37,                 1.4486,                 1.4344,                 2.4577,                 1.3077,               0.007228,               0.007228,               0.007228
                     31,                 2.0891,                 3.0615,                 1.5923,                 1.9083,                  3.068,                 1.4389,                 0.6017,                0.19589,                0.19508,                0.09735,                 1.6238,                 2.4083,                 1.4539,                 1.4442,                 2.5088,                 1.3168,               0.007129,               0.007129,               0.007129
                     32,                 2.0827,                  3.101,                 1.5755,                 1.8911,                 3.1021,                 1.4297,                 0.6064,                 0.2025,                  0.196,                0.09872,                 1.6273,                 2.3897,                 1.4508,                 1.4359,                  2.485,                 1.3083,                0.00703,                0.00703,                0.00703
                     33,                 2.0715,                   3.07,                 1.5846,                 1.8935,                 3.0646,                 1.4355,                0.61297,                0.20672,                0.19677,                0.09918,                 1.6264,                  2.364,                 1.4493,                 1.4439,                 2.4476,                 1.3129,               0.006931,               0.006931,               0.006931
                     34,                 2.0618,                 3.0776,                 1.5825,                 1.8927,                 3.0609,                 1.4343,                0.62723,                0.21232,                0.19716,                0.09945,                 1.6184,                 2.3636,                  1.447,                 1.4299,                 2.4556,                 1.3111,               0.006832,               0.006832,               0.006832
